ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q43,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q40,Q41,Q42,Q44,LocationLatitude,LocationLongitude,LocationAccuracy
10,R_Ddvrbkw05VtSP17,Default Response Set,Anonymous,,,134.173.216.156,0,2/12/2016 14:48,2/12/2016 14:54,1,1,0,3,2,1,2,3,1,2,1,6,1,1,4,4,3,6,3,2,5,20,2,3,0,0,1500,6,6,4,0,5,6,2,0,0,6,3,2,5,3,1,1,5,5,4,4,1,34.12229919,-117.7142944,-1
11,R_A0sMKLtONNuWNP3,Default Response Set,Anonymous,,,134.173.197.107,0,2/12/2016 20:51,2/12/2016 20:56,1,1,0,3,2,5,2,3,4,2,1,3,1,6,1,4,2,5,2,3,6,15,0.5,1,2,3,1000,20,7,1,0,4,7,4,10,7,1,20,3,5,5,4,1,4,5,4,4,1,34.12229919,-117.7142944,-1
12,R_2ZK6h8Vm8wxHv8e,Default Response Set,Anonymous,,,134.173.248.4,0,2/12/2016 20:58,2/12/2016 21:03,1,1,1,4,2,1,2,3,4,2,5,3,2,6,4,4,3,5,2,2,6,15,3,2,2,3,2000,20,5,2,0,0,8,2,0,8,1,2,2,1,4,1,5,4,3,3,1,1,34.12229919,-117.7142944,-1
13,R_QaEIg7awCIAyAY9,Default Response Set,Anonymous,,,134.173.207.222,0,2/12/2016 21:03,2/12/2016 21:10,1,1,0,1,1,1,1,3,5,2,2,3,1,6,3,4,3,4,2,1,7,20,1,1,4,1,800,20,7,1,1,1,2,0,50,9,0,5,3,5,5,5,1,4,4,4,5,1,34.12229919,-117.7142944,-1
14,R_D5YzAi1Hs9xCThn,Default Response Set,Anonymous,,,134.173.220.43,0,2/12/2016 21:29,2/12/2016 21:39,1,1,1,6,2,1,2,3,4,3,2,3,1,6,3,4,3,7,2,2,7,15,1,1,0,2,370,17,8,0,0,1,1,0,2,12,0,2,3,5,5,4,2,5,4,3,4,1,34.12229919,-117.7142944,-1
15,R_2QKcPavJJqIj3Zb,Default Response Set,Anonymous,,,134.173.195.64,0,2/12/2016 21:37,2/12/2016 21:47,1,1,0,1,2,3,1,6,1,3,6,3,1,6,3,4,2,5,2,1,6,15,1.5,1,0,3,375,15,7.5,30,15,2,1,1,0,10,0,2,3,4,5,4,3,4,3,4,4,1,34.12229919,-117.7142944,-1
16,R_2aWEZ6BTYrPnMDm,Default Response Set,Anonymous,,,134.173.202.70,0,2/12/2016 22:04,2/12/2016 22:10,1,1,1,1,2,3,2,3,7,1,1,4,1,6,3,4,3,7,2,2,7,18,1,2,1,1,376,14,7,10,1,1,8,1,0,8,1,2,2,5,5,5,1,5,5,4,4,1,34.12229919,-117.7142944,-1
17,R_2tid6N78hGOh0lO,Default Response Set,Anonymous,,,134.173.204.98,0,2/12/2016 22:44,2/12/2016 22:51,1,1,0,6,2,6,1,3,3,3,1,3,1,6,3,4,2,4,2,3,7,17,3,1,3,0,1200,18,7,24,0,3,1,0,0,6,0,1,2,5,5,4,4,4,3,4,4,1,34.12229919,-117.7142944,-1
18,R_aVPjghyDCe9RqIJ,Default Response Set,Anonymous,,,166.177.249.28,0,2/13/2016 10:59,2/13/2016 11:06,1,1,0,6,1,6,1,5,1,7,6,4,1,6,3,1,2,4,1,2,6,15,4,1,1,2,25,20,6,1,2,0,3,2,3,6,0,5,2,2,5,3,1,5,3,3,3,1,38.0032959,-122.0317993,-1
19,R_2QFZZtb9xlwEMIR,Default Response Set,Anonymous,,,134.173.194.54,0,2/13/2016 13:23,2/13/2016 13:31,1,1,1,6,2,5,2,1,1,1,3,3,1,1,3,4,3,4,1,4,6,15,2,4,1,0,2637,6,6,10,0.25,0,5,2,100,0,0,1,2,1,1,3,1,1,3,2,1,1,34.12229919,-117.7142944,-1
20,R_2dSfpHDY6LbXkc6,Default Response Set,Anonymous,,,134.173.203.193,0,2/13/2016 14:06,2/13/2016 14:35,1,1,0,1,2,1,1,3,3,2,6,1,2,2,2,4,3,4,2,2,5,15,0.5,2,1,1,960,0,8,0.5,0,0,3,1,0,3,1,1,2,5,5,4,2,4,3,3,4,1,34.12229919,-117.7142944,-1
21,R_26lnfziRa2si2xY,Default Response Set,Anonymous,,,69.91.135.94,0,2/13/2016 15:02,2/13/2016 15:06,1,1,1,1,2,1,2,1,1,4,7,3,1,6,4,1,4,4,2,2,5,10,2,1,3,1,40,4,7,10,3,1,10,2,3,5,1,2,4,3,2,4,3,3,3,4,4,1,47.66059875,-122.2919006,-1
22,R_r909bP4giTlFzWh,Default Response Set,Anonymous,,,134.173.222.140,0,2/13/2016 15:17,2/13/2016 15:29,1,1,0,6,2,4,2,6,5,4,7,3,2,2,4,4,3,4,1,2,5,10,3,2,10,2,8315,5,7,,0,10,,2,4,20,0,2,3,5,5,4,4,2,4,5,4,1,34.12229919,-117.7142944,-1
23,R_u8m2q4eUHYQLlcd,Default Response Set,Anonymous,,,67.182.103.154,0,2/13/2016 18:53,2/13/2016 19:06,1,1,0,1,2,5,1,2,3,4,1,1,2,1,3,4,4,4,2,5,43,18,1,3,6,1,0,0,8,2,0.2,1,4,0,60,25,1,2,6,5,2,5,1,5,5,4,5,1,36.83999634,-119.8284988,-1
24,R_DSLdtOj5kkq07PX,Default Response Set,Anonymous,,,70.211.3.97,0,2/13/2016 19:05,2/13/2016 19:11,1,1,0,4,1,1,2,1,3,3,1,6,1,3,3,3,4,7,2,2,39,15,3,3,21,1,800,4,7,3,0.5,1,2,0,5,5,1,3,6,4,5,5,3,5,4,4,4,1,33.96800232,-117.319397,-1
25,R_2VBEPkYdtRbuwVd,Default Response Set,Anonymous,,,24.12.187.137,0,2/13/2016 20:11,2/13/2016 20:21,1,1,0,1,2,1,1,5,3,3,1,7,1,1,2,4,4,1,2,3,,18,1,5,0,0,700,6,7,1,0.25,0,1,0,3,6,2,2,6,5,3,5,,,,4,5,1,42.05619812,-87.70110321,-1
26,R_r74nBAEgym70V0Z,Default Response Set,Anonymous,,,24.16.11.127,0,2/13/2016 22:25,2/13/2016 22:36,1,1,0,1,2,5,1,5,3,3,5,3,1,6,1,4,4,7,1,2,2,15,3,,5,1.00E+20,0,4,8,20,1.5,4,6,0,0,6,1,5,4,5,2,5,3,3,3,4,4,1,47.29449463,-122.6220016,-1
27,R_2b3gzzepJ8tFrcq,Default Response Set,Anonymous,,,134.173.194.198,0,2/14/2016 0:45,2/14/2016 0:50,1,1,1,3,2,1,2,3,5,3,7,3,1,1,2,4,3,4,2,1,5,20,1,3,3,0,1100,2,7,21,1,1,0,1,0,3,2,2,2,4,4,2,2,3,4,4,4,1,34.12229919,-117.7142944,-1
28,R_3oEAbml2MgZjApq,Default Response Set,Anonymous,,,134.173.196.21,0,2/14/2016 1:21,2/14/2016 1:26,1,1,0,1,2,6,1,3,5,1,5,1,1,7,1,4,1,4,2,3,6,20,2,0,1,5,400,3,7,1,0,3,0,1,7,20,0,2,3,5,2,4,3,5,4,4,4,1,34.12229919,-117.7142944,-1
29,R_3Mh5hBT4lKtGN0I,Default Response Set,Anonymous,,,12.14.210.82,0,2/14/2016 1:23,2/14/2016 1:27,1,1,1,1,2,1,2,6,4,7,1,6,1,5,2,4,4,7,3,3,6,15,6,4,3,0,123,8,6,2,0,1,1,4,3,4,0,2,2,3,4,4,5,5,5,3,2,1,38.60519409,-89.83180237,-1
30,R_1fj8KZPJdgEvkE3,Default Response Set,Anonymous,,,193.173.216.15,0,2/14/2016 3:24,2/14/2016 3:31,1,1,0,6,1,1,1,1,3,1,6,3,1,1,2,4,1,5,2,2,6,20,2,1,0,0,400,8,7,9,0,1,6,2,0,9,2,2,3,5,5,5,5,4,5,4,4,1,52.36669922,4.899993896,-1
31,R_25XjxgmaJ2956AA,Default Response Set,Anonymous,,,67.160.109.164,0,2/14/2016 14:23,2/14/2016 14:30,1,1,0,1,2,1,1,6,1,3,2,6,1,2,1,4,4,3,2,2,3,20,3,2,5,4,0,14,7.5,12,1,8,4,1,0,6,2,4,4,5,4,3,3,4,5,5,4,1,47.22749329,-122.5401001,-1
32,R_3388M5Jt3Np2F6M,Default Response Set,Anonymous,,,134.173.163.156,0,2/14/2016 16:41,2/14/2016 16:45,1,1,1,6,2,1,2,6,7,3,4,3,2,6,1,4,3,3,1,3,5,20,1,2,2,1,44,14,8,21,1,6,5,1,3,2,0,2,2,5,4,5,4,5,4,5,5,1,34.12229919,-117.7142944,-1
33,R_UKj0EZy2ZoOzMdz,Default Response Set,Anonymous,,,134.173.194.101,0,2/14/2016 16:15,2/14/2016 17:06,1,1,1,1,2,5,2,5,3,3,6,4,1,2,4,4,4,5,2,2,7,18,2,0,5,12,368,3,6,1,0,2,2,0,0,1,0,3,5,4,1,4,2,4,4,4,4,1,34.12229919,-117.7142944,-1
34,R_3OeN66fZphEUWdn,Default Response Set,Anonymous,,,76.91.249.158,0,2/14/2016 18:33,2/14/2016 18:38,1,1,0,1,1,2,3,1,1,7,5,3,1,5,4,4,4,3,2,2,6,17,8,2,10,5,0,0,9,50,1,0,2,2,3,,1,3,5,5,3,5,2,5,4,3,5,1,34.10319519,-118.4524994,-1
35,R_pDxq5QOuYcsMMjT,Default Response Set,Anonymous,,,134.173.208.92,0,2/12/2016 12:11,2/15/2016 10:38,1,1,1,1,2,4,1,1,6,5,1,4,1,2,1,4,1,5,1,3,5,12,7,3,2,6,7300,4,6,10,0,1,3,1,4,6,1,50,3,3,4,2,2,5,3,4,3,1,34.12229919,-117.7142944,-1
36,R_CmihTDTn9vumBvH,Default Response Set,Anonymous,,,134.173.194.4,0,2/15/2016 14:27,2/15/2016 14:34,1,1,1,6,2,1,2,3,4,2,2,3,1,2,2,4,3,3,2,1,5,10,1,2,2,3,20,18,7,1,0,1,2,3,2,7,0,1,3,5,1,4,4,4,4,4,4,1,34.12229919,-117.7142944,-1
37,R_3PgwVvM01aodVXu,Default Response Set,Anonymous,,,134.173.213.230,0,2/15/2016 15:44,2/15/2016 15:49,1,1,0,6,2,1,1,3,2,7,1,3,1,4,1,4,3,4,3,2,5,15,3,2,0,2,100,18,4,20,0,3,3,3,2,0,2,2,2,3,5,5,4,3,3,4,3,1,34.12229919,-117.7142944,-1
38,R_cA3eUNUJ2ymIpd7,Default Response Set,Anonymous,,,134.173.173.173,0,2/15/2016 22:32,2/15/2016 22:37,1,1,1,6,2,1,2,3,3,7,4,3,1,6,4,4,3,3,3,1,5,15,1,1,2,1,80,20,6,14,1,2,4,1,1,2,0,2,2,4,5,5,1,5,5,4,4,1,34.12229919,-117.7142944,-1
39,R_2duwWSfHCQdstzL,Default Response Set,Anonymous,,,134.173.200.244,0,2/15/2016 23:45,2/15/2016 23:50,1,1,1,1,2,7,1,4,1,3,4,3,2,2,1,4,3,3,2,1,,15,0.5,1,1,1,15,5,7,0.5,0.5,1,2,2,0,1,1,2,2,5,5,5,2,5,2,4,4,1,34.12229919,-117.7142944,-1
40,R_21bwwTFK8t6RIrP,Default Response Set,Anonymous,,,134.173.221.127,0,2/16/2016 2:42,2/16/2016 2:48,1,1,1,2,2,1,1,3,3,3,6,4,1,2,4,4,3,5,2,2,5,15,1,1,1,1,"2,000",1.5,6,10,0.2,1,2,3,4,5,0,2,3,2,5,4,2,4,3,3,3,1,34.12229919,-117.7142944,-1
41,R_2cBAVA5KW2Lx2vK,Default Response Set,Anonymous,,,134.173.31.93,0,2/17/2016 22:16,2/17/2016 22:21,1,1,1,1,2,1,2,6,4,4,1,3,1,6,1,3,1,6,2,3,5,20,5,1,1,0,2000,5,7,9,0,4,6,2,0,5,1,1,3,5,3,4,2,5,5,4,4,1,34.12229919,-117.7142944,-1
42,R_1NsSIsMsL9RuHS7,Default Response Set,Anonymous,,,134.173.31.1,0,2/19/2016 16:40,2/19/2016 16:46,1,1,1,1,2,5,2,3,1,3,7,4,1,5,2,4,4,5,2,3,7,15,1,1,15,2,1200,4,9,8,1,1,2,0,3,10,1,4,3,5,5,5,2,4,4,4,4,1,34.12229919,-117.7142944,-1
43,R_3RpGb26mfBhCZeJ,Default Response Set,Anonymous,,,134.173.248.4,0,2/19/2016 16:53,2/19/2016 16:56,1,1,0,3,2,1,1,3,4,4,1,2,1,1,4,4,3,4,1,1,6,20,4,2,5,5,1064,3,7,2,0,1,5,1,3,10,3,2,3,4,5,2,4,4,4,4,4,1,34.12229919,-117.7142944,-1
44,R_aWtoKWh1wCgqmFr,Default Response Set,Anonymous,,,69.91.188.201,0,2/19/2016 17:06,2/19/2016 17:11,1,1,0,1,1,6,2,3,3,4,7,3,1,4,4,4,4,7,2,2,7,15,1.5,2,2,7,1,1,8,2,0.2,0,1,0,0,2,1,2,4,5,3,3,1,4,3,3,4,1,47.66059875,-122.2919006,-1
45,R_3HoDUrFI0D5PKjW,Default Response Set,Anonymous,,,207.109.100.126,0,2/19/2016 17:09,2/19/2016 17:15,1,1,0,6,2,5,2,5,1,7,6,3,2,1,1,3,4,4,2,2,7,15,5,1,3,1,20,10,6,3,7,2,3,0,3,4,0,2,4,5,4,4,5,4,4,4,3,1,47.60620117,-122.3320999,-1
46,R_3qUPYPOBchM3RJf,Default Response Set,Anonymous,,,24.16.12.61,0,2/19/2016 17:28,2/19/2016 17:32,1,1,1,6,2,2,1,5,1,3,1,3,1,6,3,4,4,3,3,3,8,20,1.5,2,1,10,0,8,6,0,2,0,10,0,1,7,2,3,4,3,5,4,3,4,4,2,2,1,47.74769592,-122.2043991,-1
47,R_3saiVbq06Svt9rn,Default Response Set,Anonymous,,,69.91.170.42,0,2/19/2016 17:32,2/19/2016 17:37,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,4,3,2,2,7,20,2,1,3,6,20,3,7,5,3,2,1,0,1,12,0,1,5,4,5,5,4,5,4,4,4,1,47.63189697,-122.2967987,-1
48,R_2DY91a32FKICiUh,Default Response Set,Anonymous,,,134.173.199.49,0,2/19/2016 17:56,2/19/2016 18:01,1,1,0,6,1,6,1,3,5,3,7,3,2,6,1,4,4,3,2,3,7,15,0.5,1,1,6,800,20,7,1,0,1,5,0,0,6,1,3,2,5,5,2,4,4,4,3,4,1,34.12229919,-117.7142944,-1
49,R_12MD8774bGT4gs8,Default Response Set,Anonymous,,,134.173.221.48,0,2/19/2016 18:00,2/19/2016 18:04,1,1,1,2,2,5,1,3,1,2,1,3,1,2,3,1,4,3,2,3,6,15,4,1,1,1,1176,6,6,1,0,1,5,0,1,4,2,4,4,5,5,4,3,3,4,4,4,1,34.12229919,-117.7142944,-1
50,R_3jd5eiGbTaW8K5u,Default Response Set,Anonymous,,,98.163.209.193,0,2/19/2016 18:03,2/19/2016 18:10,1,1,0,1,2,5,2,6,1,1,1,1,2,4,4,4,4,4,2,3,7,15,2,2,6,1,"1,000",3,8,6,1,4,5,0,10,20,0,2,6,4,5,4,3,5,4,4,5,1,30.00959778,-90.06340027,-1
51,R_3e7Ub7ZotL5WAUy,Default Response Set,Anonymous,,,108.60.63.24,0,2/19/2016 18:24,2/19/2016 18:28,1,1,1,1,2,1,2,1,1,1,1,3,1,5,1,4,1,3,2,2,5,15,0.5,2,2,0,120,5,7,2,0,1,3,2,0,9,1,4,4,5,5,4,5,4,3,3,4,1,32.95700073,-117.1978989,-1
52,R_wOheBsa8DEfUB3j,Default Response Set,Anonymous,,,134.173.78.1,0,2/19/2016 18:27,2/19/2016 18:33,1,1,1,1,2,6,2,3,1,3,7,3,1,7,4,4,3,3,2,3,5,17,3,1,3,1,2500,3,7,1,0.25,1,5,1,2,3,2,3,3,4,4,4,2,5,3,4,4,1,34.12229919,-117.7142944,-1
53,R_Oj8oR6Fwa3G0rK1,Default Response Set,Anonymous,,,130.132.173.84,0,2/19/2016 18:48,2/19/2016 18:52,1,1,1,1,2,6,1,4,1,1,1,3,1,7,2,4,4,3,2,2,7,20,1,1,1,5,3000,4,8,2.5,1,3,2,0,2,13,0,1,3,5,5,5,2,4,4,4,5,1,41.30940247,-72.9240036,-1
54,R_25AT6IOCkAh3cIZ,Default Response Set,Anonymous,,,134.173.220.194,0,2/19/2016 20:08,2/19/2016 20:14,1,1,1,2,2,5,1,2,4,1,6,3,1,6,1,4,4,5,2,5,8,20,2,3,4,1,3000,12,7,3,1,3,9,0,1,23,1,3,2,5,5,5,1,5,4,4,3,1,34.12229919,-117.7142944,-1
55,R_1P01xGdm0x5L5mr,Default Response Set,Anonymous,,,134.173.210.174,0,2/19/2016 20:10,2/19/2016 20:14,1,1,0,2,2,2,2,1,2,3,7,3,1,6,1,4,4,3,2,2,7,20,1.5,2,4,2,3000,14,8,14,0,1,3,0,0,4,0,2,3,5,5,4,1,5,4,4,5,1,34.12229919,-117.7142944,-1
56,R_1hBkdQ3kxitmSCM,Default Response Set,Anonymous,,,134.173.198.91,0,2/12/2016 21:00,2/12/2016 21:06,0,1,0,6,2,7,2,1,3,2,1,3,2,6,3,4,3,4,2,2,5,15,3,0,0,8,9000,3,6,6,0,5,2,4,0,20,0,1,4,3,1,1,5,4,4,5,4,,,,-1
57,R_9QZVzXouhwl6APr,Default Response Set,Anonymous,,,134.173.210.241,0,2/12/2016 21:55,2/12/2016 22:21,0,1,0,6,2,1,1,4,3,3,1,3,1,4,1,4,1,6,2,3,5,20,1.5,1,5,1,1000,20,8,1.5,0,1.5,5,2,2,7,0,4,2,5,4,4,3,4,4,4,5,,,,-1
58,R_22X1mBHlOixyysy,Default Response Set,Anonymous,,,134.173.206.110,0,2/12/2016 22:34,2/12/2016 22:41,0,1,1,1,2,7,1,2,5,1,2,1,1,6,3,4,3,3,2,2,6,15,2,1,2,0,300,12,6,1,0,1,4,0,2,7,2,2,2,5,5,5,2,5,4,4,4,,,,-1
59,R_24BmUlhyiTZISzU,Default Response Set,Anonymous,,,134.173.199.192,0,2/20/2016 11:33,2/20/2016 11:39,1,1,1,4,2,1,1,3,3,2,6,3,1,1,3,4,1,3,2,2,6,15,2,1,2,4,"1,000",6,6,3,1,4,2,0,4,1,2,3,3,4,3,2,3,5,4,4,3,1,34.12229919,-117.7142944,-1
60,R_2zIxfe84zSNWinc,Default Response Set,Anonymous,,,108.196.100.8,0,2/20/2016 15:50,2/20/2016 15:55,1,1,0,1,2,5,2,4,7,1,6,3,2,4,4,4,1,4,2,1,8,16,1,1,4,2,459,7,8,10,1,2,3,0,5,5,1,2,4,3,5,5,2,4,3,4,3,1,38.4467926,-122.7841034,-1
61,R_1kS7YsyZuQl8Z0h,Default Response Set,Anonymous,,,134.173.248.4,0,2/12/2016 21:00,2/13/2016 15:57,0,1,1,2,2,6,2,3,1,2,2,4,2,6,1,4,3,3,2,2,7,15,3,1,2,1,400,10,8,1,0,0.25,2,0,10,0,0,2,3,5,3,4,2,5,3,3,4,,,,-1
62,R_2xOT2AvKiPGyJhj,Default Response Set,Anonymous,,,63.139.29.162,0,2/13/2016 16:39,2/13/2016 16:43,0,1,1,1,1,5,1,4,5,1,4,3,1,2,3,4,3,3,2,1,6,15,4,2,3,4,450,4,7,20,0,2,1,2,2,5,1,2,3,4,4,3,3,4,4,4,4,,,,-1
63,R_1kZ8wQrywFJlTGL,Default Response Set,Anonymous,,,45.52.184.26,0,2/20/2016 16:45,2/20/2016 16:52,1,1,0,1,2,6,2,6,5,4,1,3,1,6,3,4,4,1,2,3,7,15,1,1,4,3,2766,10,8,2,2,1,5,0,0,15,0,4,5,5,5,5,3,4,4,4,5,1,33.8321991,-78.64910126,-1
64,R_1Cpacq1kv1F97OU,Default Response Set,Anonymous,,,134.173.26.135,0,2/20/2016 17:09,2/20/2016 17:14,1,1,0,1,2,2,2,1,1,2,7,3,1,6,3,4,2,3,2,1,6,20,4,1,4,5,2700,2,7,3,0,3,2,0,3,9,1,1,3,5,5,5,3,5,4,4,4,1,34.12229919,-117.7142944,-1
65,R_28CFuCUpG0YYimK,Default Response Set,Anonymous,,,134.173.196.112,0,2/20/2016 17:10,2/20/2016 17:23,1,1,1,1,2,5,2,3,1,3,5,3,1,1,1,4,4,5,2,3,7,20,2,1,5,1,"2,700",7,5.5,1,0.25,3,4,0,0,16,1,4,4,4,5,3,2,4,4,4,3,1,34.12229919,-117.7142944,-1
66,R_3dGrPp36OGuVc7y,Default Response Set,Anonymous,,,67.160.119.28,0,2/13/2016 18:19,2/13/2016 18:19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
67,R_abYLNYvXs1ylAkh,Default Response Set,Anonymous,,,73.19.14.71,0,2/13/2016 18:20,2/13/2016 18:26,0,1,0,1,2,1,1,1,7,1,5,6,1,7,4,4,4,1,2,3,45,20,1,3,2,0,0,2,7,3,1.5,1,2,0,5,30,0,2,6,4,4,5,4,5,4,5,4,,,,-1
68,R_3HCydpqp22bwfwx,Default Response Set,Anonymous,,,160.39.37.16,0,2/13/2016 18:53,2/13/2016 18:58,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
69,R_1jANSHVSLOlfCPi,Default Response Set,Anonymous,,,197.243.140.153,0,2/13/2016 19:21,2/13/2016 19:21,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
70,R_2dLSkHB3YwavrEE,Default Response Set,Anonymous,,,107.184.209.162,0,2/13/2016 20:09,2/13/2016 20:16,0,1,0,1,2,1,,2,3,2,7,1,,1,2,4,4,3,2,3,,20,1,2,2,0,1800,5,5,2,2,,4,0,,5,1,2,6,4,4,5,4,4,3,4,3,,,,-1
71,R_3GDJyUxfBqIhPwo,Default Response Set,Anonymous,,,134.173.248.4,0,2/13/2016 20:18,2/13/2016 20:18,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
72,R_2X4lEQaguzi2CAC,Default Response Set,Anonymous,,,129.12.220.186,0,2/13/2016 22:46,2/13/2016 22:50,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
73,R_3DjexN047xgbA1R,Default Response Set,Anonymous,,,166.170.48.187,0,2/14/2016 0:19,2/14/2016 0:20,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
